,input,filtered,denoised,merged,tabled,nonchim
SRR6946098_1,360891,333071,325448,325448,325448,242052
SRR6946099_1,393517,355192,349759,349759,349759,199595
SRR6946100_1,440256,415343,411135,411135,411135,125664
SRR6946101_1,411743,383959,366037,366037,366037,158694
SRR6946115_1,361584,328486,325503,325503,325503,258689
